user_name,text,hashtags,id,urls,expanded_url,media_id,media_url,type,date,user_mentions_screenname,user_mentions_name,user_mentions_id,followers
steam_games,"DAILY DEAL __ Save 70% on Offworld Trading Company - Core Game,Learn more: https://t.co/Z2QhnIQGnM#SteamDealsÿ https://t.co/Y1G2anvoWi",steamdeals,#1101912554933227520,https://t.co/KyVEnKGgVB,https://store.steampowered.com/app/858810/Dawn_of_Man/,"#1101632698852958210, ",http://pbs.twimg.com/media/D0nJGlgV4AIsfaw.jpg,photo,2019/3/1 23:58,'madrugaworks',Madruga Works,#3384834101,4987785
steam_games,"NOW AVAILABLE __ Dawn of Man - Save 15%,Learn more: https://t.co/KyVEnKGgVB#SteamDeals @madrugaworks https://t.co/BXm9qfZpCz", ,#1101632784882229248,https://t.co/5wLFTwaEgB,https://store.steampowered.com/app/803600/Disgaea_5_Complete__5/, , ,text,2019/3/1 23:57,NULL,NULL,NULL,4987785
steam_games,"DAILY DEAL __ Save up to 75% on the Warhammer 40,000: Dawn of War Franchise,Learn more: https://t.co/1pgwWRjc6Kÿ https://t.co/3CNkPcWL3g",steamdeals,#1101632534092238850,https://t.co/fzo8Oh9hHl,https://store.steampowered.com/app/838380/DEAD_OR_ALIVE_6/,"#1101627978822242304, ",http://pbs.twimg.com/media/D0nEz2BU0AAtwDh.jpg,photo,2019/3/1 23:42,'KoeiTecmoUS',KOEI TECMO AMERICA,#34985744,4987785
steam_games,"DAILY DEAL __Save 25% on Disgaea 5 Complete / Ä§½ç__¥Ç¥£¥¹¥¬¥¤¥¢5,Learn more: https://t.co/5wLFTwaEgB#SteamDealsÿ https://t.co/xSWcsUzoWD",steamdeals,#1101628748678324224,https://t.co/M267QHpF4v,https://store.steampowered.com/app/714370/LEFT_ALIVE/,"#1101286249061470209,",http://pbs.twimg.com/tweet_video_thumb/D0iOAjdU0AEwUVW.jpg,photo,2019/3/1 23:40,'SquareEnix',Square Enix,#588782112,4987785
steam_games,"NOW AVAILABLE __ DEAD OR ALIVE 6,Learn more: https://t.co/fzo8Oh9hHl#SteamDeals @KoeiTecmoUS https://t.co/2jGmzSwXN1", ,#1101628226886000640,https://t.co/3aiaPU5Byl,https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy__123/, , ,text,2019/3/1 2:30,NULL,NULL,NULL,4987785
steam_games,"PRE-PURCHASE __ LEFT ALIVEþ,Learn more: https://t.co/M267QHpF4v#SteamDeals @SquareEnix https://t.co/NP7dPdd11A", ,#1101308576327524353,https://t.co/p2S4UoizRn,https://store.steampowered.com/app/389730/TEKKEN_7/,"# 1101284812994732032,",http://pbs.twimg.com/media/D0iMs9sVYAAaEzf.jpg,photo,2019/3/1 2:00,'BandaiNamcoUS',Bandai Namco US,#19003121,4987785
steam_games,PRE-PURCHASE __Phoenix Wright: Ace Attorney Trilogy / Äæ_²ÃÅÐ123 ³É_ÌÃ¥»¥ì¥¯¥·¥ç¥óLearn more: https://t.co/3aiaPU5Bylÿ https://t.co/geaVayCPii,  ,#1101301027209273344,https://t.co/zyHoNzsVZ4,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/,"# 1101283370691002369, ",http://pbs.twimg.com/media/D0iLZAsVAAERk71.jpg,photo,2019/3/1 1:30,PdxInteractive,Paradox Interactive,#19393570,4987785
steam_games,"WEEKEND DEAL __Save 50% on TEKKEN 7,Learn more: https://t.co/p2S4UoizRn#SteamDeals @BandaiNamcoUS https://t.co/gEeQqI1Xep",steamdeals,#1101293479290843136,https://t.co/jf119poZL8,https://store.steampowered.com/app/920690/CardLife_Creative_Survival/, , ,text,2019/3/1 1:10,NULL,NULL,NULL,4987785
OriginInsider,What have you been playing in the #OriginAccess Vault this week?  https://t.co/kF0taqtgjt https://t.co/EMk5mW9vMI,OriginAccess,#1103354597194686464,https://t.co/kF0taqtgjt,http://x.ea.com/57288,#1103354594363502592,http://pbs.twimg.com/media/D0_nKGJU8AAqFc6.jpg,photo,2019/3/6 18:00,NULL,NULL,NULL,733272
OriginInsider,"For a limited time, you can get up to 85% off on select EA games!  https://t.co/gRajXkcgh1 https://t.co/wwlKpMv4Wq", ,#1103048819548184576,https://t.co/gRajXkcgh1,http://x.ea.com/57256,#1103048817857814529,http://pbs.twimg.com/media/D07RDj5UYAE00B5.jpg,photo,2019/3/5 21:45,NULL,NULL,NULL,733272
OriginInsider,Amazing zipline plays make us as joyful as Pathfinder. We want to see your best ones.Origin Access Rewards:ÿ https://t.co/vZlAtWrIKU, ,#1102267417412026369,https://t.co/vZlAtWrIKU,https://twitter.com/i/web/status/1102267417412026369, , ,text,2019/3/3 18:00,NULL,NULL,NULL,733272
OriginInsider,Have you been wreaking havoc with @playApex Legends' recent addition?  https://t.co/IxkgDb5N4y https://t.co/WqE4DzprTT, ,#1101180269426425857,https://t.co/IxkgDb5N4y,http://bit.ly/2EpxRxI, #1101180267425722368,http://pbs.twimg.com/media/D0gtnnGUcAA02q_.jpg,photo,2019/2/28 18:00,'PlayApex',Apex Legends,#1048018930785083392,733272
OriginInsider,Have a favorite Javelin to customize? We've seen some incredible designs in @AnthemGame  https://t.co/gDCWOBRKD7 https://t.co/uuamr9tODG, ,#1100878281828519936,https://t.co/gDCWOBRKD7,http://x.ea.com/56702,#1100878258327904256,http://pbs.twimg.com/amplify_video_thumb/1100878258327904256/img/_T5vDKYGi-AsV3Y7.jpg,photo,2019/2/27 22:00,'anthemgame',Anthem,#872413457198567425,733272
OriginInsider,You're playing @playApex. You run into this. What do you do?  https://t.co/zhvxnXdzsH https://t.co/Tf08FHXrCV, ,#1100470619630534657,https://t.co/zhvxnXdzsH,http://x.ea.com/57034,#1100470617386577920,http://pbs.twimg.com/media/D0WoMisU8AA_Xm2.jpg,photo,2019/2/26 19:00,'PlayApex',Apex Legends,#1048018930785083392,733272
OriginInsider,"RT @EAStarWars: The Chosen One is making his way to #StarWarsBattlefrontII this week! Brush up on what's to come with our latest blog, hereÿ",StarWarsBattlefrontII,#1100173386662047744, , , , ,text,2019/2/25 23:19,'EAStarWars',EA Star Wars, #3033103596,733272
OriginInsider,RT @Battlefield: Good news for the #Battlefield purists too: classic 32-player Rush as you know and love will be available as a standaloneÿ,Battlefield,#1098654801502527489, , , , ,text,2019/2/21 18:44,Battlefield,#Battlefield V,#27855118,733272
OriginInsider,RT @anthemgame: The latest update for #AnthemGame is live! After downloading the update you can hop right back into your javelin to fight tÿ,AnthemGame,#1098383689136787461, , , , ,text,2019/2/21 0:47,'anthemgame',Anthem,#872413457198567425,733272
OriginInsider,"RT @PlayApex: Double the hop ups, double the fun! Here comes the Havoc: https://t.co/7pzKO4q7Ku https://t.co/fFmJ3jASOX", ,#1098287005836894208,https://t.co/7pzKO4q7Ku,http://x.ea.com/56994,#1098286229693521920,http://pbs.twimg.com/ext_tw_video_thumb/1098286229693521920/pu/img/Ytca6wncpfkCznmN.jpg,photo,2019/2/20 18:23,'PlayApex',Apex Legends,#1048018930785083392,733272
